F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
0.12534	0.14651	0.029344	0.07377	0.28224	0.2827	0.27752	0.26332	0.15099	0.1449
0.043498	0.087254	0.068394	0.092283	0.24074	0.38694	0.22912	0.28925	0.20002	0.1462
0.119	0.031239	0.47461	0.058929	0.16041	0.40351	0.32789	0.18073	0.2291	0.2376
0.11598	0.041861	0.1819	0.38711	0.12943	0.32549	0.18391	0.18203	0.15442	0.42403
0.24771	0.15916	0.083326	0.018672	0.015368	0.20094	0.341	0.14856	0.34438	0.24452
0.03927	0.32168	0.022931	0.24271	0.14492	0.2812	0.16807	0.21007	0.28226	0.22402
0.13767	0.22385	0.15851	0.1429	0.16142	0.27662	0.38638	0.14794	0.27194	0.31229
0.032808	0.18715	0.086451	0.02556	0.15489	0.35447	0.19969	0.17077	0.47715	0.17745
0.10275	0.18	0.050028	0.079358	0.16781	0.21476	0.21293	0.2975	0.27423	0.16721
0.059836	0.083935	0.072259	0.060348	0.055442	0.36018	0.22155	0.37984	0.29342	0.28034
0.059998	0.07634	0.040981	0.58989	0.089623	0.23533	0.20714	0.2425	0.23884	0.30732
0.2805	0.17658	0.23213	0.066296	0.13107	0.24357	0.21018	0.18347	0.34322	0.12765
0.57084	0.17032	0.084182	0.17768	0.24909	0.38683	0.26975	0.36771	0.37036	0.2584
0.12037	0.062051	0.020386	0.15284	0.05121	0.21781	0.41242	0.21124	0.33384	0.36278
0.094747	0.30053	0.22728	0.15807	0.25411	0.26888	0.26267	0.36988	0.35331	0.28878
0.21053	0.2789	0.055361	0.10805	0.39185	0.3665	0.23505	0.65586	0.17412	0.36821
0.11189	0.06666	0.086294	0.050336	0.22875	0.38248	0.14761	0.42797	0.32629	0.52102
0.22805	0.25337	0.057776	0.32715	0.31831	0.31746	0.21123	0.28935	0.31706	0.20608
0.12456	0.056455	0.044717	0.21622	0.26591	0.33896	0.27719	0.2491	0.29258	0.14732
0.16958	0.071329	0.054726	0.18895	0.11007	0.22401	0.23217	0.55882	0.21647	0.27186
0.13931	0.10059	0.25633	0.15209	0.14461	0.31364	0.30248	0.25803	0.16217	0.12982
0.0073956	0.15006	0.20121	0.088491	0.045399	0.33732	0.3	0.39036	0.19161	0.22317
0.032943	0.052636	0.079771	0.018517	0.20148	0.15122	0.17361	0.43158	0.29607	0.18288
0.064245	0.12509	0.029133	0.15311	0.093523	0.21658	0.26316	0.1749	0.30096	0.16737
0.1293	0.07831	0.26068	0.10095	0.086216	0.23417	0.4996	0.16687	0.31503	0.27292
0.058285	0.48279	0.21445	0.72233	0.032428	0.13361	0.44864	0.12396	0.35055	0.26685
0.49453	0.077083	0.17795	0.24552	0.12183	0.25649	0.34657	0.1238	0.36109	0.1961
0.13363	0.34778	0.075291	0.32243	0.13346	0.36514	0.28133	0.39988	0.22542	0.17485
0.52127	0.085713	0.2207	0.14916	0.10723	0.42001	0.2358	0.20453	0.30876	0.16438
0.15345	0.10954	0.057257	0.028473	0.041931	0.27307	0.27141	0.24304	0.2322	0.26354
0.090657	0.1887	0.20157	0.17047	0.40797	0.25112	0.2566	0.33676	0.22223	0.19814
0.091401	0.057944	0.03272	0.097908	0.095931	0.3246	0.34963	0.2971	0.27796	0.27514
0.11549	0.20336	0.42177	0.010729	0.1685	0.45391	0.37446	0.18886	0.21956	0.21617
0.33935	0.068656	0.046578	0.13372	0.14839	0.21209	0.41824	0.35388	0.17797	0.33926
0.33291	0.088981	0.0084636	0.30657	0.023153	0.35168	0.22818	0.32679	0.27015	0.38527
0.21795	0.063359	0.047301	0.052512	0.10295	0.23148	0.322	0.16319	0.30957	0.20144
0.19801	0.43923	0.022407	0.22667	0.10062	0.26678	0.34931	0.19222	0.45143	0.2171
0.087307	0.071467	0.14726	0.15601	0.03862	0.21278	0.17761	0.23191	0.21985	0.15119
0.12872	0.094183	0.19858	0.22897	0.18914	0.28326	0.28372	0.27483	0.23248	0.39089
0.09192	0.2019	0.20311	0.056696	0.17396	0.31095	0.28137	0.31284	0.21421	0.31235
0.042376	0.043684	0.13415	0.069329	0.033585	0.20188	0.20906	0.24346	0.24919	0.44116
0.092565	0.46099	0.15341	0.086319	0.03914	0.35729	0.16932	0.17482	0.2215	0.13007
0.34265	0.11158	0.18948	0.43342	0.28827	0.22665	0.28008	0.23085	0.32715	0.44896
0.53091	0.052584	0.11617	0.12935	0.20805	0.28628	0.20805	0.20736	0.36614	0.32065
0.047559	0.23748	0.076521	0.072671	0.0808	0.45353	0.15452	0.15941	0.46388	0.26344
0.15601	0.16524	0.042452	0.1885	0.11568	0.34589	0.24491	0.19098	0.16515	0.33476
0.41627	0.034319	0.0571	0.3086	0.099089	0.43555	0.24296	0.18906	0.18062	0.34072
0.091017	0.14386	0.068796	0.12307	0.019117	0.18176	0.1998	0.25794	0.32706	0.31156
0.064659	0.11367	0.16477	0.27011	0.05623	0.25004	0.35405	0.38976	0.15799	0.20626
0.12601	0.34193	0.32889	0.14184	0.27355	0.2744	0.15869	0.19301	0.1921	0.19077
0.048886	0.1277	0.21307	0.18734	0.057188	0.25384	0.30492	0.43535	0.20459	0.15181
0.11865	0.068843	0.12441	0.041195	0.049586	0.32866	0.2176	0.23382	0.20816	0.25424
0.21471	0.081536	0.027555	0.15533	0.13089	0.18472	0.30447	0.3868	0.24727	0.086959
0.037398	0.054021	0.086784	0.13808	0.074578	0.27095	0.29717	0.21202	0.39974	0.22896
0.063704	0.077516	0.034318	0.61984	0.14033	0.19076	0.18825	0.40478	0.48513	0.19638
0.26268	0.15227	0.11955	0.016006	0.09013	0.25425	0.20242	0.38382	0.36825	0.2094
0.092692	0.10493	0.078529	0.0075633	0.099892	0.19396	0.37973	0.28377	0.32402	0.24556
0.25552	0.1361	0.085213	0.098196	0.25399	0.34032	0.28057	0.22332	0.27699	0.24492
0.095284	0.085856	0.15546	0.067272	0.1372	0.16531	0.27089	0.25101	0.24535	0.16565
0.13224	0.13422	0.10859	0.034608	0.085837	0.27545	0.084297	0.20114	0.56482	0.31874
0.27927	0.14267	0.084802	0.50458	0.035511	0.38766	0.35132	0.1254	0.30333	0.31645
0.23228	0.059372	0.022498	0.024926	0.28955	0.25175	0.19168	0.36051	0.1155	0.23441
0.21618	0.16641	0.048822	0.08056	0.03905	0.44064	0.39829	0.13604	0.34363	0.46925
0.11883	0.24225	0.61318	0.09565	0.04751	0.13366	0.52872	0.11034	0.15652	0.28398
0.45759	0.12116	0.028532	0.11311	0.05442	0.50708	0.20199	0.4322	0.11921	0.40569
0.33964	0.1348	0.23918	0.04934	0.035268	0.41378	0.42517	0.26687	0.46662	0.23464
0.011339	0.36124	0.24878	0.049863	0.36375	0.36785	0.27487	0.19568	0.32062	0.22488
0.099709	0.18186	0.046275	0.062621	0.016264	0.1613	0.26641	0.52726	0.2223	0.46095
0.15957	0.39378	0.32403	0.041599	0.17357	0.2264	0.21131	0.3015	0.13182	0.27418
0.084159	0.11807	0.056329	0.41265	0.12483	0.20459	0.26884	0.29576	0.2013	0.55035
0.15691	0.23437	0.13012	0.12134	0.26014	0.095003	0.32109	0.31967	0.25723	0.3698
0.30601	0.16142	0.096546	0.26833	0.070592	0.36128	0.26601	0.24932	0.19784	0.38392
0.30235	0.064328	0.30265	0.054346	0.13659	0.32051	0.24603	0.35326	0.2526	0.24757
0.10911	0.06619	0.017818	0.057088	0.053048	0.2715	0.38802	0.15344	0.40341	0.37636
0.023338	0.040113	0.08556	0.34611	0.18509	0.24171	0.3031	0.21252	0.38996	0.4152
0.0035416	0.035976	0.3068	0.20287	0.17192	0.34477	0.37541	0.16083	0.29545	0.25625
0.1088	0.12627	0.10112	0.090109	0.14109	0.45116	0.48025	0.19608	0.29373	0.22153
0.016581	0.016834	0.47616	0.088115	0.06012	0.18152	0.4986	0.25195	0.15317	0.16761
0.15786	0.079026	0.1182	0.14154	0.1121	0.25689	0.43134	0.3852	0.27117	0.1585
0.24363	0.062322	0.22147	0.23045	0.24166	0.24518	0.24674	0.18521	0.1984	0.17965
0.10053	0.46767	0.2265	0.018904	0.090325	0.16057	0.20209	0.17244	0.31076	0.23862
0.067172	0.053363	0.15284	0.55038	0.25682	0.14356	0.24998	0.25961	0.28747	0.20521
0.11249	0.13315	0.15019	0.44429	0.086464	0.33523	0.33928	0.16672	0.27228	0.43344
0.12162	0.031939	0.12421	0.28305	0.22567	0.21734	0.2634	0.35592	0.42207	0.40538
0.13789	0.097328	0.071255	0.15867	0.19428	0.33685	0.28569	0.34657	0.40588	0.23601
0.086215	0.06407	0.10644	0.047665	0.20878	0.11195	0.26903	0.19756	0.14362	0.10995
0.10972	0.14731	0.2565	0.061224	0.024962	0.33535	0.35727	0.2924	0.23178	0.33252
0.13243	0.033755	0.070435	0.032716	0.51417	0.31219	0.2359	0.38252	0.2446	0.26843
0.04228	0.067911	0.17948	0.45862	0.11409	0.35521	0.15092	0.22209	0.29398	0.31227
0.13653	0.056746	0.17824	0.11058	0.093155	0.18319	0.33343	0.20747	0.43785	0.37547
0.027955	0.10574	0.1669	0.089942	0.079862	0.21632	0.25521	0.25898	0.19862	0.11033
0.1135	0.48854	0.43527	0.24259	0.14869	0.28204	0.62118	0.2512	0.31355	0.29837
0.20658	0.42557	0.1934	0.041816	0.26327	0.26313	0.17555	0.18694	0.13139	0.1995
0.1208	0.15819	0.11213	0.24194	0.21491	0.18001	0.20217	0.18402	0.26172	0.16999
0.064091	0.1288	0.064568	0.024086	0.43256	0.32084	0.32234	0.32787	0.26369	0.21388
0.17595	0.076794	0.055999	0.072073	0.11425	0.4633	0.12406	0.34641	0.29323	0.33771
0.10571	0.092626	0.11164	0.5289	0.031239	0.16681	0.24917	0.30559	0.27723	0.43507
0.18964	0.16153	0.064971	0.059752	0.055572	0.26546	0.34489	0.33947	0.16691	0.29045
0.075431	0.13655	0.011233	0.36042	0.123	0.20413	0.1704	0.14126	0.27141	0.42427
0.20982	0.16864	0.087856	0.1352	0.055619	0.39743	0.47042	0.25356	0.40158	0.13051
0.12873	0.073522	0.097516	0.026036	0.36099	0.22397	0.34687	0.55749	0.21961	0.30838
0.3568	0.24276	0.3693	0.096761	0.090398	0.20196	0.37558	0.48591	0.44488	0.31114
0.058294	0.030285	0.15104	0.14219	0.16181	0.31072	0.36684	0.40657	0.1516	0.33256
0.22287	0.33688	0.097581	0.076909	0.025654	0.35313	0.20364	0.22209	0.27891	0.34422
0.17897	0.17965	0.089975	0.068671	0.28127	0.25162	0.20372	0.38136	0.23243	0.17608
0.15722	0.10911	0.32143	0.08079	0.3483	0.41741	0.32027	0.29	0.50629	0.33457
0.028748	0.033618	0.28888	0.10114	0.13512	0.30162	0.16846	0.47291	0.12137	0.38019
0.37181	0.0074315	0.2121	0.39811	0.36485	0.13143	0.32321	0.2448	0.24671	0.37367
0.49218	0.016723	0.066143	0.023077	0.083698	0.27233	0.35739	0.22634	0.33265	0.4226
0.1107	0.044747	0.11617	0.085839	0.37571	0.1639	0.16815	0.34516	0.35595	0.19093
0.10726	0.52308	0.10571	0.067906	0.019038	0.26202	0.30312	0.39437	0.18245	0.33142
0.098809	0.17671	0.033229	0.061573	0.13405	0.26969	0.17608	0.23516	0.16968	0.34174
0.06918	0.22019	0.23727	0.23467	0.18354	0.3142	0.12838	0.28643	0.29347	0.30593
0.12511	0.069946	0.043042	0.073159	0.083914	0.22287	0.29464	0.28805	0.39896	0.17649
0.04881	0.15256	0.092245	0.042176	0.043411	0.30515	0.31274	0.092979	0.20194	0.26377
0.1883	0.24118	0.13542	0.052482	0.086141	0.25981	0.3319	0.63097	0.22212	0.24122
0.071217	0.16838	0.19936	0.20534	0.039555	0.15062	0.48453	0.18618	0.21279	0.50956
0.12255	0.048279	0.031064	0.07243	0.2034	0.22957	0.30298	0.30627	0.33066	0.39511
0.24445	0.060236	0.15975	0.28981	0.11298	0.15281	0.44397	0.3401	0.35254	0.22347
0.049763	0.18316	0.39654	0.36551	0.071574	0.14367	0.2488	0.21057	0.28104	0.50159
0.028709	0.3417	0.13897	0.053814	0.011135	0.27813	0.34018	0.48721	0.2365	0.36293
0.052876	0.14669	0.049763	0.10486	0.10574	0.28815	0.35309	0.30288	0.28884	0.11819
0.13154	0.25599	0.15305	0.034864	0.15869	0.30644	0.20249	0.18519	0.2064	0.39209
0.20753	0.066788	0.42914	0.52635	0.042937	0.18248	0.20128	0.42327	0.26276	0.26287
0.16425	0.24849	0.392	0.055126	0.079078	0.22284	0.32444	0.19567	0.18452	0.27795
0.091543	0.059651	0.09048	0.2489	0.10734	0.30846	0.19349	0.23249	0.25733	0.14081
0.13146	0.027957	0.14469	0.11449	0.04121	0.37343	0.31467	0.30981	0.19688	0.36135
0.21551	0.11984	0.03079	0.13253	0.12705	0.20928	0.35298	0.1864	0.27895	0.20065
0.014973	0.13523	0.07681	0.25971	0.080081	0.34226	0.20546	0.26121	0.20147	0.15117
0.1146	0.073312	0.1586	0.04007	0.15478	0.38707	0.16031	0.22877	0.18453	0.15687
0.21868	0.43076	0.074252	0.058788	0.12756	0.18837	0.30144	0.16996	0.078044	0.19799
0.075748	0.1414	0.069216	0.26565	0.099087	0.14718	0.16665	0.14856	0.17024	0.23508
0.074423	0.041059	0.40519	0.035626	0.18971	0.34655	0.32956	0.37166	0.36072	0.29994
0.15185	0.11946	0.025676	0.055475	0.12833	0.25254	0.25022	0.22012	0.2506	0.3704
0.040307	0.42227	0.22149	0.062663	0.27858	0.24941	0.14078	0.1397	0.30369	0.37331
0.090383	0.12648	0.022919	0.14994	0.072328	0.19129	0.28533	0.35454	0.26372	0.34345
0.049101	0.062883	0.48768	0.041216	0.088089	0.3111	0.17563	0.33531	0.21273	0.32463
0.70521	0.4208	0.044917	0.02229	0.13597	0.32809	0.29247	0.24423	0.27535	0.19666
0.066872	0.16765	0.19336	0.018983	0.21646	0.22285	0.22319	0.22952	0.31278	0.34353
0.14327	0.035176	0.48147	0.062049	0.025134	0.24031	0.22693	0.23695	0.29872	0.47241
0.10645	0.11008	0.31514	0.064426	0.041744	0.32871	0.44392	0.19639	0.1883	0.13853
0.44922	0.34471	0.050538	0.64259	0.23343	0.26604	0.48003	0.38656	0.38911	0.35236
0.09973	0.11581	0.033722	0.22375	0.15589	0.22172	0.40261	0.25079	0.17184	0.31419
0.60952	0.047787	0.071137	0.24344	0.32793	0.15607	0.37088	0.29023	0.17745	0.31736
0.019402	0.029748	0.65043	0.092841	0.071134	0.44623	0.33464	0.4454	0.29272	0.1781
0.17274	0.016048	0.10671	0.043038	0.16444	0.20492	0.1684	0.20759	0.22942	0.127
0.36297	0.021206	0.49714	0.017062	0.074784	0.246	0.34118	0.19153	0.52511	0.30692
0.17724	0.060631	0.024989	0.048585	0.099274	0.2551	0.20475	0.25034	0.23556	0.41542
0.051905	0.18282	0.0192	0.16347	0.058039	0.35195	0.26758	0.42448	0.35681	0.34758
0.089163	0.25653	0.071058	0.19651	0.18532	0.38997	0.26812	0.39421	0.52454	0.32435
0.12623	0.17072	0.078404	0.21729	0.031897	0.21621	0.21486	0.29984	0.15247	0.29721
0.087567	0.27565	0.36681	0.071581	0.34688	0.34804	0.33747	0.21088	0.24219	0.20516
0.024227	0.33746	0.021543	0.3691	0.21289	0.34066	0.30192	0.10898	0.20312	0.39308
0.64998	0.052935	0.14395	0.17993	0.20822	0.25669	0.22975	0.27286	0.12289	0.36809
0.41762	0.22072	0.062345	0.053084	0.032834	0.21518	0.50661	0.23196	0.2502	0.20742
0.13804	0.056384	0.020018	0.1887	0.24791	0.48904	0.44303	0.23419	0.21433	0.20449
0.1064	0.025256	0.13394	0.14203	0.12318	0.21015	0.19792	0.29532	0.54509	0.31601
0.093463	0.063157	0.40389	0.054808	0.068734	0.2841	0.27794	0.34625	0.24668	0.20365
0.1798	0.01854	0.13781	0.3016	0.089159	0.24433	0.17693	0.28677	0.22313	0.27907
0.037309	0.071307	0.25855	0.26593	0.12364	0.25497	0.1547	0.25985	0.44618	0.12855
0.47969	0.18052	0.046753	0.041186	0.073045	0.19558	0.23792	0.31885	0.27436	0.39501
0.66248	0.33798	0.16289	0.23328	0.011382	0.3263	0.37875	0.30511	0.27483	0.33711
0.072809	0.088794	0.22789	0.62261	0.03945	0.34535	0.30701	0.16219	0.18268	0.28568
0.04963	0.025449	0.12521	0.063154	0.078386	0.075751	0.4907	0.16924	0.28808	0.19243
0.17215	0.17093	0.30112	0.31317	0.064097	0.13097	0.15825	0.2618	0.18404	0.22283
0.072031	0.049158	0.015188	0.087774	0.031916	0.22047	0.3419	0.17626	0.18131	0.4119
0.13457	0.17133	0.036628	0.19966	0.060608	0.38942	0.40779	0.25103	0.27575	0.35608
0.056704	0.12813	0.059604	0.35458	0.1144	0.37959	0.40385	0.40579	0.21435	0.12052
0.10979	0.22762	0.2954	0.27598	0.1188	0.32289	0.10364	0.28567	0.12556	0.21294
0.095093	0.093971	0.11352	0.31442	0.09288	0.23242	0.12914	0.31232	0.28076	0.34147
0.054316	0.17068	0.044618	0.15426	0.0335	0.31634	0.10155	0.30883	0.36978	0.26091
0.27179	0.046922	0.083083	0.036076	0.040541	0.19454	0.54628	0.20841	0.11401	0.24699
0.15962	0.49055	0.38348	0.074947	0.47136	0.33005	0.21742	0.2848	0.36653	0.1363
0.057158	0.01277	0.10816	0.10239	0.42838	0.2407	0.18518	0.24789	0.37418	0.20267
0.029245	0.13547	0.17875	0.068698	0.14232	0.35124	0.15827	0.25582	0.36963	0.40566
0.10191	0.39299	0.089971	0.10608	0.13829	0.36851	0.25618	0.14319	0.17638	0.22039
0.12103	0.25174	0.10064	0.12094	0.36107	0.26833	0.21314	0.21392	0.28368	0.31061
0.10389	0.015818	0.033168	0.30646	0.044002	0.17342	0.49135	0.20624	0.32625	0.2797
0.3151	0.26095	0.13489	0.20699	0.065025	0.14704	0.4493	0.10766	0.33563	0.13403
0.051376	0.072798	0.14674	0.085697	0.052845	0.29519	0.24058	0.22339	0.38735	0.19052
0.086719	0.17498	0.049175	0.047347	0.46328	0.24781	0.1996	0.41776	0.22758	0.11541
0.088328	0.30127	0.16277	0.34325	0.037561	0.17457	0.19731	0.33372	0.29425	0.28167
0.16778	0.141	0.1177	0.070491	0.049744	0.16954	0.28035	0.4732	0.27044	0.16492
0.023278	0.045974	0.20911	0.41973	0.066358	0.37012	0.16344	0.20781	0.16661	0.25162
0.09295	0.21355	0.44512	0.04606	0.11359	0.29801	0.40593	0.24459	0.46934	0.25119
0.032313	0.40891	0.20093	0.10729	0.056912	0.27166	0.13649	0.18127	0.21386	0.1319
0.12493	0.25447	0.052411	0.046317	0.052553	0.41663	0.23071	0.45005	0.21736	0.19164
0.15824	0.16224	0.17417	0.054849	0.18993	0.39892	0.5448	0.1939	0.34102	0.41488
0.16219	0.22803	0.084879	0.18462	0.10528	0.28459	0.28096	0.38944	0.21449	0.33577
0.19768	0.30311	0.32644	0.07536	0.13771	0.21743	0.11339	0.22423	0.27682	0.1526
0.34441	0.14286	0.090842	0.15496	0.083033	0.29283	0.3505	0.27513	0.21218	0.20504
0.15658	0.14258	0.12195	0.37218	0.2667	0.3074	0.22883	0.24778	0.26925	0.31989
0.0080009	0.13786	0.045787	0.094428	0.34172	0.18747	0.23076	0.26042	0.17416	0.29934
0.025102	0.41603	0.031273	0.10888	0.094502	0.15225	0.14989	0.17598	0.39325	0.29919
0.072769	0.018953	0.05118	0.46748	0.014992	0.23977	0.13654	0.33039	0.28965	0.34032
0.092356	0.15114	0.0875	0.014464	0.22123	0.37893	0.3256	0.29469	0.3169	0.36846
0.18648	0.17668	0.04593	0.030502	0.3776	0.29763	0.33587	0.53286	0.29041	0.1221
0.20767	0.3497	0.054449	0.28494	0.03986	0.36185	0.32593	0.11279	0.18436	0.15478
0.042786	0.076736	0.26645	0.093809	0.14728	0.36951	0.087887	0.5373	0.16644	0.18954
0.039459	0.046361	0.27081	0.17196	0.35988	0.26771	0.22077	0.27672	0.32467	0.33898
0.075799	0.19881	0.023839	0.14048	0.043478	0.17083	0.46646	0.27887	0.31981	0.23939
0.10515	0.16609	0.2808	0.061668	0.068896	0.52358	0.21626	0.20266	0.28345	0.24518
0.13459	0.05764	0.036588	0.23337	0.12208	0.29057	0.19868	0.15651	0.16153	0.26896
0.021815	0.059796	0.092995	0.041229	0.030836	0.25328	0.22106	0.30245	0.18893	0.33306
0.10635	0.052616	0.23874	0.058013	0.13051	0.14021	0.2842	0.35353	0.31667	0.12368
0.16086	0.015038	0.16766	0.087229	0.43838	0.25297	0.37721	0.15201	0.26063	0.2993
0.036987	0.15513	0.32116	0.082088	0.07476	0.14407	0.19369	0.206	0.33949	0.19251
0.08571	0.11162	0.26231	0.13405	0.058274	0.21281	0.24177	0.37685	0.15517	0.22569
0.36584	0.023462	0.24932	0.12995	0.039407	0.3358	0.3049	0.41966	0.2794	0.42321
0.043112	0.17389	0.13951	0.017971	0.26818	0.37223	0.19561	0.25151	0.2173	0.2199
0.068158	0.13286	0.11258	0.35266	0.074732	0.3285	0.21528	0.23756	0.32339	0.23311
0.086027	0.27421	0.23132	0.20353	0.039202	0.31872	0.20583	0.22984	0.22981	0.44958
0.038648	0.26603	0.07041	0.21819	0.12194	0.30895	0.25105	0.1677	0.46211	0.31184
0.096017	0.15392	0.016268	0.13841	0.21852	0.26305	0.2551	0.38141	0.20092	0.31664
0.03041	0.1454	0.031878	0.25804	0.044838	0.21139	0.41622	0.19323	0.20694	0.28905
0.19053	0.36968	0.39071	0.48408	0.11665	0.26053	0.31818	0.32191	0.28458	0.2646
0.093687	0.02709	0.083812	0.25133	0.093312	0.34191	0.39255	0.22453	0.28131	0.29349
0.09155	0.11906	0.24883	0.35344	0.087055	0.26377	0.17787	0.22532	0.27661	0.28559
0.040471	0.097986	0.26599	0.01949	0.064799	0.1673	0.32983	0.15813	0.21661	0.19743
0.11979	0.10323	0.068271	0.17249	0.26927	0.29104	0.22662	0.42101	0.37987	0.2164
0.1351	0.13342	0.067224	0.056698	0.071318	0.36763	0.27615	0.27438	0.17885	0.37012
0.25973	0.073968	0.014312	0.049397	0.42665	0.24818	0.23318	0.18642	0.27702	0.19318
0.15005	0.12079	0.10468	0.25723	0.097044	0.20065	0.22917	0.21161	0.44294	0.25009
0.15831	0.35926	0.14259	0.14908	0.38484	0.068673	0.1272	0.20949	0.2888	0.51973
0.056947	0.18426	0.067383	0.041165	0.14475	0.30054	0.21126	0.17066	0.20648	0.30223
0.15663	0.17901	0.20894	0.17274	0.051431	0.23158	0.29654	0.13426	0.33753	0.41573
0.04854	0.096805	0.048991	0.20745	0.064333	0.3801	0.27718	0.24657	0.31058	0.42162
0.080174	0.085804	0.28688	0.038659	0.35093	0.26146	0.14413	0.25151	0.10268	0.31342
0.22024	0.014304	0.26005	0.071566	0.17596	0.25665	0.22889	0.32763	0.45729	0.3466
0.13051	0.053798	0.09884	0.25357	0.063134	0.36554	0.14017	0.23172	0.27872	0.19591
0.12431	0.17693	0.15942	0.13782	0.077155	0.31312	0.13836	0.33785	0.32605	0.22822
0.31601	0.25121	0.059299	0.039283	0.19918	0.15961	0.41885	0.18445	0.18639	0.29899
0.094643	0.088781	0.12037	0.087908	0.085954	0.29451	0.17844	0.16102	0.17305	0.22772
0.041599	0.21816	0.18504	0.053259	0.28122	0.15626	0.27439	0.15506	0.2049	0.19187
0.02221	0.17024	0.17521	0.13137	0.03594	0.37985	0.13888	0.42259	0.32472	0.18332
0.052439	0.47282	0.13973	0.40287	0.18909	0.26267	0.3278	0.30882	0.22927	0.25242
0.1796	0.11891	0.11662	0.15693	0.032674	0.19092	0.32366	0.34627	0.099718	0.21124
0.018243	0.048728	0.074132	0.1672	0.041964	0.26564	0.14473	0.28039	0.3595	0.23031
0.19432	0.071482	0.067326	0.087526	0.20715	0.20045	0.17916	0.0867	0.21889	0.30305
0.042503	0.072486	0.095761	0.10219	0.065734	0.31725	0.24918	0.21114	0.34447	0.13118
0.080996	0.019886	0.4185	0.035265	0.11659	0.20887	0.29151	0.26613	0.22262	0.14658
0.1127	0.06613	0.23199	0.13079	0.051959	0.31726	0.34767	0.2229	0.41531	0.38245
0.23388	0.034365	0.16745	0.22246	0.050336	0.30138	0.215	0.47573	0.22621	0.34796
0.093493	0.15544	0.091059	0.32553	0.11984	0.22289	0.5169	0.24597	0.17907	0.20883
0.059876	0.097206	0.053453	0.012297	0.097278	0.29013	0.49434	0.35527	0.3452	0.27879
0.31292	0.097213	0.014162	0.085015	0.094818	0.19488	0.35437	0.14235	0.34518	0.12213
0.14406	0.12512	0.031939	0.30259	0.22704	0.34561	0.35447	0.29476	0.25918	0.23801
0.18612	0.21845	0.60119	0.13533	0.012887	0.45653	0.10911	0.29381	0.29085	0.26231
0.058543	0.12229	0.1318	0.28048	0.01318	0.32485	0.28185	0.17052	0.15099	0.21324
0.32806	0.12197	0.15856	0.056921	0.33231	0.30135	0.18437	0.4075	0.23723	0.33762
0.044032	0.089796	0.098403	0.071965	0.25391	0.36658	0.43206	0.27528	0.19923	0.17488
0.13959	0.069876	0.18955	0.67404	0.13823	0.24333	0.27956	0.19907	0.33193	0.32715
0.070236	0.064433	0.11347	0.099233	0.15613	0.14669	0.29207	0.38504	0.25379	0.35139
0.086015	0.071374	0.35114	0.20616	0.23474	0.36368	0.26753	0.14362	0.31196	0.2149
0.04016	0.040533	0.13988	0.043616	0.063441	0.28313	0.3932	0.28317	0.23412	0.50625
0.13475	0.043788	0.014822	0.1163	0.16793	0.41424	0.34346	0.27223	0.48576	0.28395
0.30544	0.27683	0.067814	0.014994	0.11772	0.32743	0.38397	0.27218	0.20747	0.35286
